# BEAST v1.7.5
# Generated Sun Apr 07 14:14:09 BST 2013 [seed=1365340446246]
state	posterior	prior	likelihood	treeLikelihood	skyline	treeModel.rootHeight	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10
925000	-10149.237898954834	-2338.7492997563077	-7810.488599198527	-7810.488599198527	-2152.8339552260973	1.267823142784663	6.770646159402668	0.36632269837496206	0.18795509552825093	0.2116872327991267	0.23403497329766063	0.0016207157192825229	146.78250629671612	178.04503292700932	366.20419745046894	244.89423019873027	77.53497144819472	18.671563768161977	9.861723842296415	2.25419424577531	2.7044101313969433	0.13145204133157015	11.0	67.0	18.0	14.0	137.0	88.0	76.0	80.0	4.0	18.0
950000	-10157.915974983673	-2373.873547753007	-7784.042427230666	-7784.042427230666	-2190.5480803747146	1.1805314874652257	7.613872974536951	0.3737456993803214	0.17758199666444627	0.20016543963710387	0.24850686431812874	0.001670138473961446	146.87600323220002	137.9825223950613	171.8992204851176	182.2850482350772	62.03579179137968	18.19447212436713	9.6212950677818	3.2355531320567494	1.7845519112342778	0.10342416083618981	10.0	79.0	11.0	22.0	135.0	82.0	70.0	70.0	15.0	19.0
975000	-10144.988923928928	-2386.6113947658537	-7758.3775291630745	-7758.3775291630745	-2201.5393623710324	1.267193418104773	7.935766746396322	0.38051481454342234	0.1754782278472223	0.2022373062232121	0.24176965138614354	0.0016698554098026775	174.06070943449652	134.79008370797607	231.22845625772933	112.27791254076291	101.13761323387457	35.87364911641889	11.096084540561105	3.464943676604417	1.899270582958963	0.1165630620262074	20.0	73.0	23.0	19.0	105.0	79.0	75.0	87.0	14.0	18.0
1000000	-10136.698706599102	-2350.466706462773	-7786.23200013633	-7786.23200013633	-2167.8812643873307	1.6394111641339584	7.999367264447909	0.39475138038200114	0.1738953668227989	0.19664983926604612	0.23470341352915414	0.0016471537326087915	89.69190063203493	161.41991380496276	82.02464366647843	200.99681266488693	83.8692418447607	22.18848107543824	10.716212086784365	2.3548881848568497	0.5213173988551856	0.3018937427285669	16.0	78.0	30.0	13.0	108.0	73.0	79.0	87.0	17.0	12.0
1025000	-10103.411150881382	-2311.4209575596356	-7791.990193321746	-7791.990193321746	-2130.415006111288	1.217780527954125	8.541414539533546	0.3358350011857591	0.17443274222584054	0.19917178229748678	0.29056047429091386	0.0016860392018014903	116.51681599745088	240.25316000058527	157.80050971738493	95.53083177254587	77.44356835401153	22.836964654473462	10.856553829898226	1.850492391872621	0.2790057641760045	0.02730393899637347	13.0	78.0	36.0	21.0	94.0	71.0	89.0	87.0	23.0	1.0
1050000	-10065.203284124389	-2297.6912059495844	-7767.512078174805	-7767.512078174805	-2115.8366508691347	1.3673841761297483	9.58240682106956	0.37137555123843013	0.17965862107606148	0.19988189495706957	0.24908393272843904	0.0015436677753785182	111.56983047379337	151.03420884719574	168.58519415266568	146.7942415052605	67.71619431046986	26.88182779401233	11.225727054817424	1.7698803448089793	0.4393259006020379	0.23300733064263282	19.0	85.0	40.0	5.0	89.0	58.0	102.0	91.0	12.0	12.0
1075000	-10019.596263551886	-2261.4512105323233	-7758.145053019563	-7758.145053019563	-2082.7078181367424	1.1777187560637696	8.494555177439896	0.3570697328077033	0.19187307843004425	0.1970012145113634	0.2540559742508893	0.0017497402711299718	113.09106722765881	164.75709237389995	84.9256259747819	52.857522623451985	69.72581813722725	19.68048137913443	9.58887481369789	1.8053976878161433	0.1671290064160203	0.11203071231696177	33.0	86.0	44.0	4.0	93.0	54.0	81.0	97.0	8.0	13.0
1100000	-9963.694343866417	-2209.0833807582617	-7754.6109631081545	-7754.6109631081545	-2029.3686978983765	1.2648999196394126	7.813853520243574	0.3752746493396892	0.17103884750267684	0.21762631840167965	0.2360601847559546	0.0018362323988154092	68.87337542037746	129.61474181279368	153.9576260979908	142.83841671351448	38.46394443403338	22.10832390916852	9.26314281765368	1.0379780946661754	0.5186663968561122	0.23470405402726405	37.0	101.0	46.0	4.0	80.0	59.0	65.0	108.0	1.0	12.0
1125000	-9907.049909245521	-2199.781129230909	-7707.268780014613	-7707.268780014613	-2019.9052818514501	1.156247101207385	7.981920738122942	0.3719247982761928	0.17791918808067642	0.2134873678150922	0.23666864582803887	0.0020209038160712823	66.4759414090793	90.12132070245431	218.54299794146635	142.97012855620932	46.51989176847182	21.557195757876134	11.10169404362309	1.30846308270712	0.1931743729843382	0.1814295369547148	39.0	99.0	46.0	2.0	69.0	67.0	71.0	101.0	12.0	7.0
1150000	-9851.972396140314	-2150.652106197231	-7701.3202899430835	-7701.3202899430835	-1970.9799801513582	1.1338042698852107	8.528567842292494	0.3719247982761928	0.17342582704122356	0.2134873678150922	0.24116200686749173	0.002149034846441274	100.0425508482468	59.439245817249834	98.66566163169367	190.86061438801093	47.26627311931385	20.971395887103434	14.505033906209668	0.9581106881722269	0.23933745670649384	0.16408804503935537	60.0	97.0	41.0	9.0	51.0	62.0	72.0	101.0	13.0	7.0
1175000	-9820.006997091394	-2175.415337351428	-7644.5916597399655	-7644.5916597399655	-1995.6734000348797	1.0711173741314057	8.57081247713623	0.37389852544678004	0.17955496335129012	0.1921775560246572	0.2543689551772729	0.001967356356969218	77.16467415525544	59.82271071566352	106.40943033516665	58.28319815222633	108.30787073159242	22.980865543780613	12.64218073232882	1.7414647997726806	0.36688439209314555	0.1390700634657092	65.0	105.0	21.0	2.0	56.0	62.0	74.0	93.0	28.0	7.0
1200000	-9786.979290482412	-2140.357694440059	-7646.621596042353	-7646.621596042353	-1958.215850890858	1.1808555620712897	8.094384044552886	0.36781026676486384	0.176180176035781	0.19915417506362418	0.2568553821357312	0.002176259655232912	76.93181020153476	60.80264394633476	186.33986612840155	89.6803535990818	66.39783419637963	25.231101928057242	24.310825431530695	1.5406320643255413	0.28434790879591015	0.39744716249907025	84.0	101.0	25.0	5.0	42.0	49.0	69.0	109.0	25.0	4.0
1225000	-9711.98565534308	-2079.2318799919767	-7632.753775351103	-7632.753775351103	-1899.8973847062975	0.8950231831346351	7.844267382502419	0.372776147236034	0.17758848264943494	0.21255693303790238	0.23707843707662893	0.002223552599146828	84.52678729908781	48.9288817645423	33.67587940064044	121.91663937867084	99.27263293952191	64.02970576947739	16.03523881380199	1.1387445793189963	0.09304967627228636	0.0461856053425244	88.0	85.0	28.0	4.0	44.0	42.0	77.0	120.0	24.0	1.0
1250000	-9699.373689857377	-2087.3401349480937	-7612.033554909282	-7612.033554909282	-1909.4522376058635	0.9992865331001157	8.384150962259904	0.3751348106623119	0.1673288456105773	0.20144495808275273	0.25609138564435835	0.002065960704074421	96.59877345044445	59.448165514870254	20.86082779276716	26.938913284013353	62.21014033037912	57.38332813934634	21.642880630229786	1.1155413039888458	0.17923131865400552	0.13921491861857913	89.0	79.0	25.0	14.0	41.0	52.0	70.0	114.0	25.0	4.0
1275000	-9653.667288033397	-2079.6577101259245	-7574.009577907474	-7574.009577907474	-1901.0055982544443	0.8786829616001771	7.817396803525365	0.3812082585603105	0.17459496544611763	0.19822249381958162	0.24597428217399053	0.002109582329286246	99.01682161162536	39.17815321311897	67.44216996611043	89.17426573763433	35.491532754899445	68.59947726539691	15.78328285869748	1.1605900628119004	0.08712441017065836	0.08425260922409553	95.0	85.0	19.0	16.0	43.0	45.0	69.0	110.0	30.0	1.0
1300000	-9704.043938434435	-2112.097754272907	-7591.9461841615275	-7591.9461841615275	-1933.015036032993	1.0512171063629245	7.0934407035565314	0.3775515868941267	0.17532016236365836	0.20860559320831545	0.2385226575338997	0.0021407646788570377	83.66211204426114	44.02271020860729	79.46986993386265	81.63756483301731	46.958680470140585	66.40332624549694	13.935516250508078	1.7095573796912742	0.20895225736606948	0.13858608699995353	95.0	86.0	22.0	31.0	24.0	35.0	72.0	114.0	31.0	3.0
1325000	-9692.131981913211	-2117.2315395678165	-7574.900442345394	-7574.900442345394	-1936.8815040715456	0.9026605225664287	9.079698240503664	0.3775515868941267	0.1752180744387461	0.2087076811332277	0.2385226575338997	0.002087945685955363	81.30783411948929	41.51596120790821	86.78128749416094	142.9276116541775	53.63556197250738	33.20974383537749	19.593329739665787	1.9388099659759137	0.23624120418210182	0.16549169366201608	92.0	95.0	20.0	18.0	22.0	47.0	65.0	113.0	32.0	9.0
